symbol,delta_minute,open,high,low,close,volume,trade_count
AAPL,10.0,201.7513,201.7513,201.7513,201.7513,263.0,10.0
AAPL,5.0,201.75,201.75,201.53,201.53,3236.0,109.0
AAPL,5.0,201.3066,201.3066,201.3066,201.3066,960.0,11.0
AAPL,5.0,201.61,201.61,201.54,201.54,777.0,32.0
AAPL,5.0,201.62,201.62,201.62,201.62,334.0,14.0
AAPL,5.0,201.66,201.6793,201.66,201.6793,1189.0,23.0
AAPL,5.0,201.58,201.7,201.58,201.6,2538.0,50.0
AAPL,5.0,201.64,201.65,201.6204,201.65,6676.0,43.0
AAPL,5.0,201.66,201.7849,201.65,201.78,8570.0,81.0
AAPL,5.0,201.7308,201.7675,201.71,201.76,1384.0,38.0
AAPL,5.0,201.8,201.8,201.8,201.8,1886.0,52.0
AAPL,5.0,201.89,201.89,201.55,201.55,6137.0,58.0
AAPL,5.0,201.7,201.8,201.7,201.7,1561.0,43.0
AAPL,5.0,201.75,201.93,201.21,201.85,9880.0,234.0
AAPL,5.0,201.85,201.88,201.6301,201.6301,964.0,17.0
AAPL,5.0,201.6315,201.65,201.58,201.58,6632.0,56.0
AAPL,5.0,201.6,201.78,201.59,201.78,2398.0,53.0
AAPL,5.0,201.7595,201.9337,201.7595,201.76,2236.0,71.0
AAPL,5.0,201.7769,201.7769,201.25,201.3,10255.0,112.0
AAPL,5.0,201.3,201.68,201.3,201.68,4891.0,63.0
AAPL,485.0,201.29,201.29,201.26,201.26,2207.0,151.0
AAPL,5.0,201.26,201.27,201.12,201.12,3718.0,98.0
AAPL,5.0,201.11,201.11,201.0,201.0,3558.0,110.0
AAPL,5.0,200.97,200.99,200.8,200.82,5105.0,107.0
AAPL,5.0,200.83,200.93,200.75,200.75,5578.0,52.0
AAPL,5.0,200.85,200.85,200.82,200.82,1221.0,38.0
AAPL,5.0,200.76,200.84,200.75,200.84,2870.0,52.0
AAPL,5.0,200.9,201.01,200.9,200.93,2043.0,39.0
AAPL,5.0,200.93,200.97,200.87,200.88,3114.0,70.0
AAPL,5.0,200.92,200.92,200.92,200.92,211.0,8.0
AAPL,5.0,200.93,201.09,200.93,201.09,2308.0,54.0
AAPL,10.0,201.06,201.09,201.06,201.06,1407.0,33.0
AAPL,5.0,201.0,201.0,201.0,201.0,1124.0,21.0
AAPL,5.0,201.07,201.11,201.07,201.11,902.0,21.0
AAPL,5.0,201.1,201.1,201.1,201.1,708.0,21.0
AAPL,5.0,201.04,201.04,200.91,200.99,2243.0,66.0
AAPL,5.0,201.21,201.21,201.2,201.2,371.0,14.0
AAPL,10.0,201.22,201.22,201.22,201.22,529.0,9.0
AAPL,5.0,201.23,201.28,201.23,201.28,814.0,18.0
AAPL,5.0,201.16,201.22,201.16,201.22,1264.0,43.0
AAPL,10.0,201.23,201.23,201.23,201.23,651.0,19.0
AAPL,5.0,201.26,201.29,201.23,201.29,2364.0,33.0
AAPL,10.0,201.24,201.25,201.16,201.16,1574.0,48.0
AAPL,10.0,201.24,201.24,201.17,201.22,2498.0,106.0
AAPL,5.0,201.17,201.25,201.17,201.23,1661.0,34.0
AAPL,5.0,201.25,201.32,201.16,201.16,2311.0,80.0
AAPL,5.0,201.12,201.18,201.0,201.0,9183.0,176.0
AAPL,10.0,201.04,201.04,200.97,200.97,1417.0,68.0
AAPL,5.0,200.99,201.08,200.99,201.06,972.0,28.0
AAPL,5.0,201.23,201.27,201.17,201.27,3337.0,70.0
AAPL,5.0,201.22,201.26,201.05,201.11,6725.0,163.0
AAPL,5.0,201.08,201.19,201.0,201.17,8949.0,135.0
AAPL,5.0,201.16,201.19,201.11,201.19,1616.0,59.0
AAPL,5.0,201.2,201.2,201.14,201.15,1254.0,30.0
AAPL,5.0,201.13,201.2,201.13,201.2,988.0,24.0
AAPL,5.0,201.18,201.29,201.13,201.29,3261.0,70.0
AAPL,5.0,201.2,201.2,201.2,201.2,507.0,30.0
AAPL,5.0,201.32,201.74,201.32,201.74,9419.0,208.0
AAPL,5.0,201.77,201.77,201.77,201.77,2449.0,29.0
AAPL,5.0,201.61,201.64,201.39,201.39,5866.0,147.0
AAPL,5.0,201.43,201.46,201.43,201.46,1332.0,38.0
AAPL,5.0,201.62,201.63,201.55,201.56,2872.0,77.0
AAPL,5.0,201.25,201.7999,200.9,201.55,777345.0,2083.0
AAPL,5.0,201.52,201.65,201.43,201.65,7395.0,194.0
AAPL,5.0,201.59,201.7,201.59,201.7,5792.0,116.0
AAPL,5.0,201.7,201.9,201.7,201.73,14174.0,245.0
AAPL,5.0,201.78,201.85,201.78,201.85,8639.0,122.0
AAPL,5.0,201.88,202.01,201.75,201.91,15551.0,322.0
AAPL,5.0,202.0,202.03,201.77,201.8,8583.0,208.0
AAPL,5.0,201.8,201.8482,201.61,201.66,8617.0,286.0
AAPL,5.0,201.69,201.78,201.64,201.7,5551.0,168.0
AAPL,5.0,201.65,202.0,201.6,202.0,21396.0,352.0
AAPL,5.0,201.95,201.9899,201.7967,201.84,6829.0,228.0
AAPL,5.0,201.78,201.92,201.78,201.89,6262.0,187.0
AAPL,5.0,201.92,201.95,201.73,201.95,13688.0,224.0
AAPL,5.0,201.95,201.99,201.73,201.79,10796.0,246.0
AAPL,5.0,201.8,201.8,201.74,201.79,11438.0,224.0
AAPL,5.0,201.8,201.8,201.72,201.8,6440.0,224.0
AAPL,5.0,201.7999,201.8,201.7201,201.74,10283.0,245.0
AAPL,5.0,201.56,201.78,201.21,201.4,79279.0,1242.0
AAPL,5.0,201.35,202.6449,201.0,201.1028,2157609.0,26455.0
AAPL,5.0,201.07,201.79,200.955,201.79,723732.0,12112.0
AAPL,5.0,201.79,202.11,201.72,202.01,718168.0,10641.0
AAPL,5.0,202.015,202.64,201.87,202.62,697852.0,10633.0
AAPL,5.0,202.615,203.06,202.52,202.6316,1076976.0,15240.0
AAPL,5.0,202.63,202.7,202.45,202.55,608500.0,10004.0
